"company_name","total_loss_usd","loss_status"
"Bravo Zephyr Engineering Holdings PLC","53813062.65","High"
"Borealis Paladin Services Pte. Ltd.","9983427.83","Medium"
"Sovereign Power Electric Ltda.","440439809.52","Critical"
"WealthSecura Holdings Group Inc.","7348396.88","Medium"
"Sable Method Associates Holdings PLC","63749921.97","High"
"Austin Biotech Corp.","253757332.46","Critical"
"Carver Brands Group N.V.","9500830.27","Medium"
"Houston Department Inc.","6845520.18","Medium"
"Nashville Securities Co.","6610570.82","Medium"
"CompositeWeld Components Corp.","32423710.87","High"
"ResortWelcome Resorts Group Inc.","19848598.03","Medium"
"Sequoia Crown Financial Corp.","517136517.72","Critical"
"Azure Township Services PLC","28128427.45","High"
"Phoenix Harbor Group SAS","11079916.45","Medium"
"Talon Paladin BioSciences Co. Ltd.","12713686.99","Medium"
"Cleveland Diagnostics Holdings Inc.","13253428.04","Medium"
"Granite Civic Administration Holdings Inc.","67065080.16","High"
"Harrington MedTech Holdings Inc.","19836847.06","Medium"
"AeroShip Airlines Ltd.","544910320.45","Critical"
"Atlanta MedTech Inc.","9275848.50","Medium"
"Coleman Sciences Holdings Inc.","69028155.65","High"
"Pune Outlets Ltd.","12466314.27","Medium"
"NetNet Networks AB","7638952.72","Medium"
"Nexus Harbor Works Corp.","13498888.26","Medium"
"SuiteHaven Hospitality Ltd.","6912973.36","Medium"
"Cobalt Retreat Hotels Holdings Inc.","9140064.82","Medium"
"Edmonton Shipping Inc.","78738138.74","High"
"Vertex Thera Labs Inc.","484836.20","Low"
"Belfast Education Group PLC","7877060.26","Medium"
"Cedar Peregrine Investments Holdings Inc.","101678608.95","Critical"
"Phoenix Civic Department Group Inc.","127632400.65","Critical"
"Citadel Care Labs Group Inc.","3291427.12","Low"
"Sable Wind Energy SA","4087231.99","Low"
"Clarke Solutions Holdings PLC","6748888.71","Medium"
"Tempest County Office SE","2516264.54","Low"
"Polaris Drill Mining Inc.","144860843.59","Critical"
"Vanguard Forge Manufacturing PLC","118545232.55","Critical"
"Quartz Paladin Assurance Holdings Inc.","28330850.84","High"
"LandRealty Group Co.","84790922.71","High"
"Delta Net Platforms Inc.","460892.75","Low"
"ShopSave Distribution Ltd.","2244602.68","Low"
"Tampa Trading Holdings Inc.","22248989.82","High"
"Silver Onyx Properties Group PLC","594363783.92","Critical"
"Zimmer Insurance Pty Ltd.","2278865.47","Low"
"Frontier Orbit Partners Inc.","20688446.03","High"
"Lambert Investments Co.","6376383.36","Medium"
"Aldridge Security Holdings Co. Ltd.","18568877.40","Medium"
"Okonkwo Retail Holdings PLC","66687719.84","High"
"Mantis Mart Retail Corp.","4452386.51","Low"
"SignalProto Labs Holdings Co. Ltd.","202524351.24","Critical"
"Brooks Shipping Co.","12169641.50","Medium"
"Bordeaux Pharmaceuticals SA","1371364.56","Low"
"Forge Jasper Pharmaceuticals PLC","34087212.10","High"
"Ember Sequoia Retail Inc.","94642582.10","High"
"LinkStream Technologies Ltd.","96888847.61","High"
"Baltic Scope Communications Ltd.","37804917.43","High"
"Fox Indigo Office Co.","29139983.78","High"
"Sierra Node Ventures SA","139973165.74","Critical"
"Newcastle Analytics Pty Ltd.","2756339.15","Low"
"Beacon Keystone Consulting Co.","23313751.75","High"
"Quartz Pacific Genomics SA","18825092.02","Medium"
"SparkAmp Power Corp.","10439588.25","Medium"
"Eriksson Health Holdings Inc.","4884726.53","Low"
"Walsh Labs Group Inc.","180318861.40","Critical"
"Sendai Communications Holdings Co. Ltd.","2066688.55","Low"
"Monroe Group SAS","4483160.85","Low"
"Horizon Current Power Corp.","40703228.53","High"
"Harbor Granite Assurance AG","6207660.23","Medium"
"ProPremier Partners Ltd.","26076202.80","High"
"Atlanta Engineering Corp.","11910638.96","Medium"
"Haifa Therapeutics Ltd.","17834463.27","Medium"
"RemedyCella Medical SA","173793.07","Low"
"SmartQuick Trading Holdings Inc.","31831071.48","High"
"Valor Consult Advisory Holdings Inc.","9621278.83","Medium"
"Harrington Stores Group PLC","5222168.22","Medium"
"CastComponent Industrial Group SA","10306666.13","Medium"
"ReserveSecura Group Holdings Ltd.","151891147.75","Critical"
"PublicBorough Agency GmbH","1842560.03","Low"
"Polaris Noble Logistics Holdings Inc.","22094507.34","High"
"LiveMedia Productions Group Inc.","48606032.10","High"
"MetroCivic Department Group PLC","337622011.91","Critical"
"Silver Granite Freight Inc.","106897774.24","Critical"
"Montpellier Healthcare SA","14619127.98","Medium"
"SyncNet Dynamics Corp.","3627758.17","Low"
"Eagle Atlas Technologies Corp.","2165416.30","Low"
"CountyCounty Administration Group Inc.","551520298.92","Critical"
"Houston Agency Inc.","278305202.82","Critical"
"Jasper Creative Studios Pty Ltd.","3046921.18","Low"
"Amsterdam Services N.V.","4119273.40","Low"
"Raleigh Holdings Holdings Inc.","3178260.79","Low"
"Sierra Node Ventures SA","1033138777.89","Critical"
"Timber Baltic Labs Corp.","102437748.81","Critical"
"Okonkwo Retail Group SA","1593071.46","Low"
"Lantern Borealis Transport Group SA","24501646.76","High"
"Nexus Summit Industries Corp.","3127380.03","Low"
"SanDiego Services Co.","246659910.53","Critical"
"Sequoia Expert Consulting Group Inc.","16134027.52","Medium"
"Nexus Harbor Works Corp.","5634447.74","Medium"
"Frontier Urban Properties S.L.","16478704.34","Medium"
"Citadel Store Retail AB","13345654.10","Medium"
"ArchDraft Development Pvt. Ltd.","26269689.26","High"
"Atlanta Components Holdings Inc.","1810789.86","Low"
"Minneapolis Electric Group Inc.","9521727.16","Medium"
"MatrixByte Microsystems Inc.","77211722.95","High"
"Lindgren BioSciences Corp.","48540283.33","High"
"Liverpool Holdings Ltd.","1558311.04","Low"
"Melbourne Advisory Pty Ltd.","962294220.34","Critical"
"TreasuryAsset Insurance Group Inc.","56160876.77","High"
"Weber Diagnostics Group Inc.","26110888.49","High"
"Lambert MedTech Co.","77875934.50","High"
"Azure Public Agency Holdings Inc.","190820991.89","Critical"
"Patriot Bravo Partners Co.","1728936.24","Low"
"Trident Azure Diagnostics PLC","56239419.12","High"
"Vertex Thera Labs Inc.","72967026.09","High"
"Orbit Lynx MedTech Corp.","15744428.30","Medium"
"ValueValue Stores Co.","108096879.27","Critical"
"Liverpool Capital Group PLC","505645114.74","Critical"
"Campbell Intelligence Group Inc.","7942825.52","Medium"
"Thompson Bank Group Inc.","29720358.89","High"
"Citadel Condor Bank Ltd.","16873220.13","Medium"
"Quartz Noble Fabrication Corp.","5587135.35","Medium"
"Trident Wave Robotics Co.","216102119.25","Critical"
"Whitfield Diagnostics S.r.l.","4902267.79","Low"
"Ahmedabad Administration Pvt. Ltd.","11926503.61","Medium"
"Raptor Silver Associates AG","2966261.22","Low"
"Seoul Microsystems Co. Ltd.","713039199.26","Critical"
"Boston Retail Holdings Inc.","14077757.51","Medium"
"Singapore REIT Pte. Ltd.","553315.12","Low"
"Horizon Raven Group Group PLC","18502030.28","Medium"
"Pinnacle Crimson Stores Corp.","69182414.59","High"
"Timber Baltic Labs Corp.","59162259.51","High"
"MarketValue Commerce Ltd.","211521155.73","Critical"
"Okonkwo Retail Holdings PLC","28002509.43","High"
"StyleStore Trading Co. Ltd.","36498694.88","High"
"Flint Sierra Production Holdings PLC","14096225.70","Medium"
"Lantern Atlas Resources Pte. Ltd.","10144934.93","Medium"
"Jerusalem Platforms Ltd.","1796987744.63","Critical"
"SparkSolar Corp Inc.","13938221.64","Medium"
"CurrentTherm Electric Co.","119304691.30","Critical"
"AlgoChip Security Technologies Ltd.","2557067.34","Low"
"Everest Sapphire Hospitality Inc.","259150504.44","Critical"
"Victoria Services Inc.","172864619.42","Critical"
"Raptor Digital Computing Group SA","300915917.14","Critical"
"Chandra Electric Group Inc.","2591410.87","Low"
"Eagle Vanguard Hotels Inc.","644697.22","Low"
"Monroe Production Holdings Inc.","4964244.22","Low"
"LinkData Software Co.","17534575.71","Medium"
"Radiant Talon Group Corp.","31956783.93","High"
"Florence Healthcare S.p.A.","16585984.09","Medium"
"Archer Code Microsystems Group Inc.","59473850.38","High"
"Zenith Reserve Holdings Holdings PLC","959261302.97","Critical"
"Liverpool Capital Group PLC","26589181.13","High"
"Raleigh Learning Group Inc.","2333686.41","Low"
"TrustFinance Group S.r.l.","8733338.69","Medium"
"Ironwood Prism MedTech Inc.","20644082.15","High"
"Miami Assurance Co.","23944873.09","High"
"Epoch Maple Production Co.","28742773.41","High"
"MarketPrime Brands Ltd.","44457235.22","High"
"Maple Weld Industrial Co.","29017955.71","High"
"Marshall Services Holdings Inc.","19344512.19","Medium"
"Leeds Group PLC","6303202.85","Medium"
"Crawford Analytics Holdings Inc.","302553540.64","Critical"
"Eagle Atlas Technologies Corp.","379043.46","Low"
"Jacksonville Labs Inc.","16948375.96","Medium"
"SolarFlux Services Holdings Inc.","1187258.92","Low"
"Trident Care BioSciences Corp.","100160032.94","Critical"
"TheraClinical Medical Co.","35254403.32","High"
"Marseille Distribution SAS","49323199.02","High"
"Paragon Secura Bancorp Co.","22061574.26","High"
"Hawk Media Studios Co.","7937850.15","Medium"
"Sendai Distribution Corp.","25905480.21","High"
"Quartz Secura Holdings GmbH","5339727.55","Medium"
"Cincinnati Systems Holdings Inc.","8338493.52","Medium"
"Marshall University SE","312415647.62","Critical"
"Keller Healthcare Pty Ltd.","11051786.90","Medium"
"Fitzgerald Biotech Ltd.","3579609.57","Low"
"Cleveland Networks Group Inc.","2875954.96","Low"
"Polaris Mantis Genomics Holdings PLC","575015025.70","Critical"
"Tanaka Analytics Inc.","20893314.30","High"
"Schneider Trading Group Inc.","64906578.33","High"
"Malmo Healthcare AB","537367.06","Low"
"Sierra Node Ventures SA","16224151.77","Medium"
"Tampa Group Inc.","3958790.96","Low"
"Flint Dynamo Services B.V.","9829507.10","Medium"
"Halifax Services Inc.","1243966.59","Low"
"Nexus Cure Sciences Group Inc.","15448633.81","Medium"
"Citadel Compass Services Corp.","44099841.44","High"
"Detroit Labs Holdings Inc.","18463686.34","Medium"
"Zenith Loft Group Ltd.","16508599.00","Medium"
"LogicNet Labs DAC","767222122.06","Critical"
"Spectrum Fox Communications Pvt. Ltd.","24292044.11","High"
"Arrow Med Pharmaceuticals SAS","71321375.36","High"
"BazaarGoods Distribution Co.","5473639.88","Medium"
"Solaris Vivo MedTech Corp.","652300.23","Low"
"Okonkwo Components Holdings Inc.","25105724.66","High"
"Boston Entertainment Inc.","196438.93","Low"
"Okonkwo Schools Co.","16258274.28","Medium"
"Kestrel Equity Capital Ltd.","256282771.23","Critical"
"Henderson Resources Group Inc.","1174857.61","Low"
"Brooks Group Inc.","23451768.94","High"
"Verdant Frame Engineering Group PLC","15984065.18","Medium"
"InsightStrategy Consulting Inc.","14189371.42","Medium"
"Sapphire Pinnacle Biotech Holdings Inc.","3538822.53","Low"
"Quantum Patriot MedTech Co.","13648354.18","Medium"
"Belfast Fabrication Group PLC","19514013.43","Medium"
"Clarke Microsystems Ltd.","6586774.94","Medium"
"Keller Services Ltd.","18123345.55","Medium"
"Spartan Cloud Microsystems Inc.","1824885.28","Low"
"Pacific Value Retail Co.","29907436.13","High"
"Yamamoto Defense Group Inc.","3171189.30","Low"
"Zimmer Production Group Inc.","13558575.51","Medium"
"Raptor Rock Resources AG","13305852.04","Medium"
"Fox Link Computing SA","823838.29","Low"
"Endeavor Element Ventures Corp.","3782932.64","Low"
"Zimmer Partners Co.","101175967.94","Critical"
"Graham Fabrication Corp.","3229494.82","Low"
"Helix Vertex Medical Co.","55113517.89","High"
"Tempest Helix Systems Co.","174605124.88","Critical"
"Keystone National Administration Inc.","85757088.39","High"
"Sierra Diamond Group Group Inc.","22988788.35","High"
"Horizon Raven Group Group PLC","6965768.00","Medium"
"Patriot Well Exploration S.L.","3817543.13","Low"
"Chen Schools Co. Ltd.","18278531.90","Medium"
"Newcastle Advisory Group Ltd.","18739174.43","Medium"
"Patriot Nexus Partners Pte. Ltd.","309420654.25","Critical"
"Liverpool Capital Group PLC","26323087.69","High"
"SparkAmp Utilities Group Inc.","8593948.45","Medium"
"Marshall Security Corp.","2712260.56","Low"
"FidelityReserve Bank Co.","11048182.04","Medium"
"FluxAmp Corp Corp.","35964517.32","High"
"Crown Mineral Energy Inc.","10726027.99","Medium"
"Fitzgerald Education Group PLC","6886012.78","Medium"
"Compass Mold Materials S.A.","2186284.97","Low"
"Frontier Metal Systems Group N.V.","10813373.71","Medium"
"Cincinnati Solutions Inc.","1727614.59","Low"
"Quantum Source Staffing Group Inc.","39378487.67","High"
"MarketWealth Securities Inc.","89734577.99","High"
"Polaris Helix Software Group SA","9632435.85","Medium"
"TheraLife Pharmaceuticals SE","12087199.32","Medium"
"Melbourne Advisory Pty Ltd.","3742341.36","Low"
"Polaris Eclipse Assurance Inc.","8489237.76","Medium"
"Sable Orbit Authority Group Inc.","7597203.26","Medium"
"MatrixStruct Defense Corp.","202601730.90","Critical"
"Quinn Academy Co. Ltd.","76413198.84","High"
"Titan Forge Systems Inc.","428579.77","Low"
"Barrett Labs Pty Ltd.","6184432.04","Medium"
"Timber Net Platforms Co.","57257809.68","High"
"Orlando Systems Holdings Inc.","246167085.37","Critical"
"Kestrel Pulse Pharmaceuticals Group Inc.","6305724.43","Medium"
"PathCella Diagnostics Co.","8992421.15","Medium"
"Nakamura Technologies Corp.","145305569.60","Critical"
"Eagle District Services Co.","54332817.32","High"
"Takahashi Sciences Holdings Inc.","66850422.23","High"
"Phoenix Prism Ventures B.V.","44227941.74","High"
"Archer Commerce Bank Inc.","3673122.60","Low"
"Nashville Farms Group Inc.","468662.22","Low"
"Matsuda Development Holdings Inc.","49893572.49","High"
"EquityFiduciary Bancorp SA","95713007.19","High"
"StructDynamic Defense Corp.","260203.19","Low"
"Lumen Educate University Holdings Inc.","5228723.88","Medium"
"Apex Oncus Biotech Co.","2083736.44","Low"
"CapitalBond Advisory SE","36505993.15","High"
"Patriot Wolverine Retail AG","46169652.51","High"
"Kestrel National Authority Holdings Inc.","14572047.34","Medium"
"Delta Reserve Investments Inc.","2718687.59","Low"
"Talon Nexus Production Ltd.","5668782.62","Medium"
"StreamCyber Communications Holdings Inc.","6074642.55","Medium"
"Turin Department S.p.A.","15582256.25","Medium"
"Haifa Studios Ltd.","8052752.21","Medium"
"TrustCommerce Financial Co. Ltd.","7428284.68","Medium"
"Azure Atlas Security Holdings Inc.","86331245.78","High"
"Jaipur Robotics Ltd.","21204432.01","High"
"Orbit Vanguard Mining Group Inc.","234600266.10","Critical"
"Crawford Defense Corp.","3110705.33","Low"
"Toulouse Capital SA","5698285.91","Medium"
"Austin Distribution Holdings Inc.","25782786.63","High"
"Nexus Trace Intelligence Group SA","96216177.34","High"
"BitWire Innovations Corp.","111489640.66","Critical"
"Okonkwo MedTech Ltd.","217998661.50","Critical"
"CompositeForge Products Ltd.","168157703.11","Critical"
"Atlas Quartz Group Co.","27280419.94","High"
"Johansson Fabrication Co.","2633462456.61","Critical"
"Harbor Beacon Services Group Inc.","84054145.81","High"
"Lawson Commerce PLC","1741937.67","Low"
"Azure Redwood Financial Ltd.","76501860.06","High"
"Phoenix Rail Co.","26855217.88","High"
"Spectrum Harbor Services Holdings Inc.","39250221.69","High"
"Valor Baltic Brands SE","50225788.58","High"
"Kestrel Trust Advisory Holdings Inc.","7827782.57","Medium"
"Harbor Beacon Outlets Group Inc.","33400739.81","High"
"Spartan Node Technologies AG","36626531.70","High"
"Calgary Innovations Holdings Inc.","39752746.29","High"
"LinkStream Technologies Ltd.","101314323.81","Critical"
"Mitchell Schools Holdings PLC","308950121.27","Critical"
"Verdant Hub Group GmbH","17179186.58","Medium"
"Fernandez Sciences Holdings Ltd.","1882895.84","Low"
"Polaris Scholar Academy Holdings Co. Ltd.","56373864.51","High"
"Cardiff Authority Holdings PLC","18881467.31","Medium"
"Osprey Neuro Therapeutics AB","570110654.81","Critical"
"Glacier Frontier Industrial Ltd.","19195016.57","Medium"
"Diamond Horizon Systems Pty Ltd.","62925236.49","High"
"MoveTransport Logistics Ltd.","78953376.24","High"
"Stuttgart Distribution SE","315126.62","Low"
"DistrictNational Agency Co.","12863145.44","Medium"
"Paladin Logic Microsystems Corp.","438811628.43","Critical"
"Kowalski Institute Inc.","5571615.22","Medium"
"Atlanta Therapeutics Corp.","16342131.73","Medium"
"Solaris Vivo MedTech Corp.","5943561.51","Medium"
"Nelson Computing Inc.","2020099.35","Low"
"LogicAcumen Partners S.A.","2769574.26","Low"
"Delta Valor Corp Inc.","2144889.05","Low"
"Jaipur Schools Pvt. Ltd.","9964715.52","Medium"
"Maple Zephyr Energy Group Inc.","248746480.85","Critical"
"TheraClinical Medical Co.","23204664.42","High"
"Tampa Stores Corp.","28973598.72","High"
"ProvidentFund Holdings Corp.","15880510.87","Medium"
"Mantis Secura Bancorp Group SA","25715931.42","High"
"PortTransit Carriers Co. Ltd.","1490529.78","Low"
"Cascade Digital Communications Co.","3575422.52","Low"
"Ironwood Lumen Platforms Co.","5213842.21","Medium"
"Fox Timber Services Group Inc.","12669677.32","Medium"
"Flynn Pharmaceuticals Co. Ltd.","2193999.12","Low"
"Victoria Services Inc.","54725003.62","High"
"Bremen Labs AG","9069275.83","Medium"
"Anderson Securities Inc.","89085430.60","High"
"Abbott Stores Holdings Inc.","1579288.75","Low"
"Radiant Pack Trading Corp.","2132694.97","Low"
"Graham Fabrication Corp.","120167678.42","Critical"
"Irving Mining Group Ltd.","52488179.57","High"
"Harbor Eclipse Sciences Inc.","138695163.66","Critical"
"Summit Arc Ventures Inc.","38290302.32","High"
"Osprey Elite Advisory Inc.","2588446.18","Low"
"Sterling Credit Partners Group PLC","3312298.56","Low"
"Atlanta MedTech Inc.","2679771.12","Low"
"DistrictCounty Administration Co.","52631746.01","High"
"Ridge Sierra Systems Group Inc.","28544455.10","High"
"LineDirect Group Co.","347604.06","Low"
"Jasper Acumen Services Co. Ltd.","8872743.07","Medium"
"Turin Construction S.r.l.","24279345.55","High"
"Phoenix Insurance Group Inc.","6034334.22","Medium"
"HelixCyber Systems AG","14752743.27","Medium"
"ReserveCrest Bank Holdings Inc.","26987152.90","High"
"Silver Campus Learning Corp.","4189870.17","Low"
"Pinnacle Zenith Platforms Co. Ltd.","57626609.99","High"
"Gibson Intelligence GmbH","16230103.49","Medium"
"Grenoble Learning SAS","9076277.95","Medium"
"Richardson Biotech Corp.","254195741.02","Critical"
"Kestrel Equity Capital Ltd.","6230673.42","Medium"
"Arrow Phoenix Stores Group PLC","137250034.25","Critical"
"Aldridge Labs Corp.","955840.24","Low"
"Miami Electric Co.","56727683.13","High"
"Lumen Goods Distribution Pte. Ltd.","1753641.89","Low"
"Frontier Metal Systems Group N.V.","1951074.20","Low"
"Redwood Noble Consulting Corp.","110403512.97","Critical"
"Keller Construction Pty Ltd.","27601056.36","High"
"Jaipur Robotics Ltd.","61886254.89","High"
"Chicago Logistics Inc.","127339068.77","Critical"
"Prism Verdant Hotels Corp.","9305183.52","Medium"
"Quartz Analytic Group Co.","618735.07","Low"
"Leipzig Group AG","9617492.35","Medium"
"Kowalski Services AG","502578849.19","Critical"
"LinkCloud Intelligence AG","23440560.41","High"
"Talon Ore Mining Co.","30213057.94","High"
"Keystone Clinical Therapeutics SE","2002572.31","Low"
"Pacific Commerce Advisory Ltd.","14573407.00","Medium"
"Ironwood Lumen Platforms Co.","25309584.82","High"
"Phoenix Communications Corp.","40091437.36","High"
"Florence Group S.p.A.","30612615.19","High"
"GridInfracore Utilities Corp.","21355126.83","High"
"StLouis Power Holdings Inc.","665067514.09","Critical"
"Philadelphia Industries Group Inc.","128547609.03","Critical"
"Sequoia Health Genomics Group Inc.","11667050.24","Medium"
"Lumen Quick Commerce Inc.","18735143.75","Medium"
"Paladin Cedar Department Ltd.","38270344.24","High"
"Maple Archer Corp Holdings Inc.","15136240.43","Medium"
"Incheon Health Corp.","7901304.56","Medium"
"Philadelphia Biotech Corp.","4330640.58","Low"
"Patriot Express Logistics Corp.","8046388.58","Medium"
"Keystone Patriot Partners SAS","12687808.70","Medium"
"Santos Health Holdings Inc.","10797352.97","Medium"
"Aldridge Office Group Inc.","22907172.24","High"
"TownshipDistrict Services PLC","48393371.80","High"
"TrustCommerce Financial Co. Ltd.","159433833.63","Critical"
"FrameComposite Materials Inc.","22488234.52","High"
"Atlanta Farms Holdings Inc.","1863576.60","Low"
"Talon Cobalt Advisory Inc.","13276980.74","Medium"
"Portland Labs Group Inc.","159621297.73","Critical"
"SparkWatt Services Group Inc.","3335650.76","Low"
"Nashville Diagnostics Co.","3990452.92","Low"
"CastForge Products SAS","23505859.96","High"
"Redwood Ivory Associates Inc.","4201667.58","Low"
"Vista Cascade Staffing Co. Ltd.","498347273.70","Critical"
"Austin Advisory Co.","85828706.34","High"
"Takahashi Retail Group Inc.","2356688.69","Low"
"Campbell Pharmaceuticals Corp.","93045420.58","High"
"Citadel Reserve Securities Holdings Inc.","74326807.29","High"
"AspireSkill Institute SA","40927145.98","High"
"Cedar Show Media Group Inc.","5475793.81","Medium"
"Baltic Cast Materials Co.","25463759.90","High"
"Atlanta University Inc.","6595103.46","Medium"
"Austin Trading Group Inc.","3804950.01","Low"
"Sheffield Healthcare Holdings PLC","11721759.25","Medium"
"MetroBorough Agency Holdings Inc.","23422864.58","High"
"Walsh Media Group PLC","31055645.68","High"
"VectorWire Security Ltd.","172156851.89","Critical"
"Lambert Bank Pty Ltd.","3592472.17","Low"
"InsightConsult Consulting S.p.A.","14242818.56","Medium"
"CommerceTreasury Investments PLC","42393874.83","High"
"Lindgren Robotics Group Inc.","737023327.55","Critical"
"Jensen Financial Corp.","1599775.47","Low"
"Carver Department Inc.","1044203.55","Low"
"Orlando Systems Holdings Inc.","18729115.89","Medium"
"Paragon Credit Securities S.p.A.","22739652.75","High"
"Lindgren University Corp.","10717692.64","Medium"
"Delta Discovery Education Holdings PLC","284100.57","Low"
"Patriot Bravo Therapeutics Co. Ltd.","11081827.14","Medium"
"Everest Summit Networks Holdings Inc.","53923798.76","High"
"NeuroPharma Healthcare Group Inc.","32561818.35","High"
"Spartan Cobalt Enterprises Holdings Inc.","1183474.46","Low"
"Sullivan Associates Corp.","58277169.96","High"
"Oxford Brands Ltd.","168046837.69","Critical"
"Orbit Wisdom Academy Ltd.","238339149.79","Critical"
"Richardson Administration Holdings PLC","10675182.56","Medium"
"Harrington Computing Corp.","7676589.57","Medium"
"Epoch Clarity Software Inc.","7152700.85","Medium"
"Talon Diamond Resources Holdings PLC","5154954.38","Medium"
"Aldridge Labs Corp.","3502834.59","Low"
"Clarity Vivo Labs Group Inc.","31826387.44","High"
"MarketEquity Assurance Inc.","20404532.97","High"
"Baltimore Corp Inc.","23631921.16","High"
"Lindgren Corp Group Inc.","15610245.92","Medium"
"Quartz Pacific Genomics SA","71339979.38","High"
"Baltic Endeavor Bank Pty Ltd.","195932512.72","Critical"
"Portland Agriculture Holdings Inc.","4930337.16","Low"
"Sequoia Crown Financial Corp.","28164282.07","High"
"NetCore Innovations Corp.","148087596.07","Critical"
"Sacramento Holdings Holdings Inc.","29166491.91","High"
"Keller MedTech AG","2334508.15","Low"
"Ridge Mantis MedTech Inc.","68414058.87","High"
"Solaris Tempest Securities AG","16460726.41","Medium"
"SelectShop Trading PLC","49832101.04","High"
"Singapore Sciences Ltd.","14705900.77","Medium"
"Tempest Condor Builders SE","86577721.16","High"
"Edwards Group Inc.","3044964.04","Low"
"Vista Metro Agency S.A.","89223404.17","High"
"Paladin Power Energy PLC","26923669.62","High"
"Delta Precision Works Holdings Inc.","10267886.82","Medium"
"Flynn Holdings Group Ltd.","13861172.42","Medium"
"Sable Hawk Medical Corp.","2877642.35","Low"
"Horizon Glacier Commerce Ltd.","387894465.09","Critical"
"Bravo State Administration Holdings PLC","53807834.57","High"
"Campbell Wholesale Group Inc.","22297950.87","High"
