"company_name","total_loss_usd"
"Orbit Vanguard Mining Group Inc.","234600266.10"
"Okonkwo MedTech Ltd.","217998661.50"
"Trident Wave Robotics Co.","216102119.25"
"MarketValue Commerce Ltd.","211521155.73"
"Genoa Group S.r.l.","205641964.36"
"Irving MedTech PLC","203939033.17"
"LogicTrace Technologies Pty Ltd.","203544190.96"
"MatrixStruct Defense Corp.","202601730.90"
"SignalProto Labs Holdings Co. Ltd.","202524351.24"
"Irving Analytics Inc.","202409764.83"
"Baltic Endeavor Bank Pty Ltd.","195932512.72"
"Takahashi Sciences Holdings Inc.","191043209.52"
"Azure Public Agency Holdings Inc.","190820991.89"
"Canberra Engineering Ltd.","189522816.72"
"Walsh Labs Group Inc.","180318861.40"
"Indigo Grid Corp Corp.","176959416.91"
"Tempest Helix Systems Co.","174605124.88"
"Anderson Securities Inc.","173170575.41"
"Victoria Services Inc.","172864619.42"
"VectorWire Security Ltd.","172156851.89"
"CompositeForge Products Ltd.","168157703.11"
"Oxford Brands Ltd.","168046837.69"
"WingPort Rail Holdings Inc.","161412130.79"
"Portland Labs Group Inc.","159621297.73"
"TrustCommerce Financial Co. Ltd.","159433833.63"
"SaveSave Commerce Corp.","157634194.73"
"Apex Aspire Learning Holdings PLC","157451926.15"
"Bravo Zephyr Engineering Holdings PLC","154866061.89"
"ReserveSecura Group Holdings Ltd.","151891147.75"
"NetCore Innovations Corp.","148087596.07"
"Nakamura Technologies Corp.","145305569.60"
"Polaris Drill Mining Inc.","144860843.59"
"Mantis Mart Retail Corp.","140591997.07"
"Graham Platforms AG","140552441.73"
"Sierra Node Ventures SA","139973165.74"
"Harbor Eclipse Sciences Inc.","138695163.66"
"Herzliya Ventures Ltd.","138167043.88"
"Arrow Phoenix Stores Group PLC","137250034.25"
"Davidson Financial Co. Ltd.","129382239.12"
"Philadelphia Industries Group Inc.","128547609.03"
"Phoenix Civic Department Group Inc.","127632400.65"
"Chicago Logistics Inc.","127339068.77"
"Sheffield Partners Holdings PLC","123218837.45"
"Graham Fabrication Corp.","120167678.42"
"CurrentTherm Electric Co.","119304691.30"
"Vanguard Forge Manufacturing PLC","118545232.55"
"Epoch Radiant Exploration Holdings PLC","116398036.60"
"BitWire Innovations Corp.","111489640.66"
"TeamSupport Services Group Ltd.","110562338.20"
"Redwood Noble Consulting Corp.","110403512.97"
"Turner Stores Group PLC","109224470.21"
"ValueValue Stores Co.","108096879.27"
"Vista Dynamo Outlets SA","107598779.07"
"Silver Granite Freight Inc.","106897774.24"
"Timber Baltic Labs Corp.","102437748.81"
"Cedar Peregrine Investments Holdings Inc.","101678608.95"
"LinkStream Technologies Ltd.","101314323.81"
"Zimmer Partners Co.","101175967.94"
"Eriksson Group Inc.","100276150.43"
"Trident Care BioSciences Corp.","100160032.94"
"Pacific Value Retail Co.","99410739.50"
"LinkStream Technologies Ltd.","96888847.61"
"Nexus Trace Intelligence Group SA","96216177.34"
"EquityFiduciary Bancorp SA","95713007.19"
"Spectrum Citadel Group Group Inc.","94751644.84"
"Nakamura Retail Co.","94692272.84"
"Ember Sequoia Retail Inc.","94642582.10"
"Campbell Pharmaceuticals Corp.","93045420.58"
"Eclipse Source Distribution Corp.","92602780.69"
"MarketWealth Securities Inc.","89734577.99"
"SaoPaulo Bank S.A.","89701048.32"
"Vista Metro Agency S.A.","89223404.17"
"Anderson Securities Inc.","89085430.60"
"CarbonTool Materials Co.","87800574.76"
"Sierra Node Ventures SA","86846954.33"
"Edinburgh Innovations Group PLC","86718676.24"
"Tempest Condor Builders SE","86577721.16"
"Azure Atlas Security Holdings Inc.","86331245.78"
"Austin Advisory Co.","85828706.34"
"Keystone National Administration Inc.","85757088.39"
"Trident Wave Robotics Co.","84913571.12"
"LandRealty Group Co.","84790922.71"
"Harbor Beacon Services Group Inc.","84054145.81"
"GuarantyBond Group Group Inc.","83485011.28"
"MoveTransport Logistics Ltd.","78953376.24"
"Edmonton Shipping Inc.","78738138.74"
"Baltimore Distribution Holdings Inc.","78701426.24"
"Lambert MedTech Co.","77875934.50"
"Nexus Horizon Systems Pty Ltd.","77723657.60"
"MatrixByte Microsystems Inc.","77211722.95"
"Azure Redwood Financial Ltd.","76501860.06"
"Quinn Academy Co. Ltd.","76413198.84"
"BazaarBrand Stores Co.","75048970.02"
"Citadel Reserve Securities Holdings Inc.","74326807.29"
"Vertex Depth Resources SE","73900680.96"
"Vertex Thera Labs Inc.","72967026.09"
"BitWire Innovations Corp.","71616414.97"
"Quartz Pacific Genomics SA","71339979.38"
"Arrow Med Pharmaceuticals SAS","71321375.36"
